drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Lifitegrast,-9.808,,,-9.808,615.5,134.0,4.77,0.92,False,Integrin,False,True,selleckchem_L1300
Troglitazone (CS-045),-9.802,,,-9.802,441.5,84.9,4.37,3.35,False,"Apoptosis related,Autophagy,Ferroptosis,PPAR",False,True,selleckchem_L1300
Gliquidone,-9.801,,,-9.801,527.6,121.9,3.52,1.86,False,Potassium Channel,False,True,selleckchem_L1300
Candesartan Cilexetil,-9.772,,,-9.772,610.7,143.3,6.32,1.25,False,Angiotensin Receptor,False,True,selleckchem_L1300
Meisoindigo,-8.754,-8.468,-9.645,-9.754,276.3,49.4,2.53,5.75,True,Others,False,True,selleckchem_L1300
Olaparib (AZD2281),-9.22,,,-9.72,434.5,86.4,2.35,4.95,False,"Autophagy,Mitophagy,PARP",False,True,selleckchem_L1300
Eltrombopag,-9.718,,,-9.718,442.5,114.6,4.56,1.46,False,TpoR,False,True,selleckchem_L1300
Amcinonide,-9.712,,,-9.712,502.6,99.1,3.52,3.4,False,NOS,False,True,selleckchem_L1300
Capmatinib (INCB28060),-9.21,,,-9.71,412.4,85.1,3.43,4.87,False,"Apoptosis related,c-Met,Wnt/beta-catenin",False,True,selleckchem_L1300
Dabrafenib Mesylate,-9.7,,,-9.7,519.6,110.9,5.36,1.21,False,Raf,False,True,selleckchem_L1300
Drospirenone,-9.2,,,-9.7,366.5,43.4,4.31,4.95,True,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Dabrafenib (GSK2118436),-9.682,,,-9.682,519.6,110.9,5.36,1.21,False,Raf,False,True,selleckchem_L1300
Palonosetron HCl,-9.18,,,-9.68,296.4,23.6,2.66,4.77,True,5-HT Receptor,False,True,selleckchem_L1300
Lumacaftor (VX-809),-9.656,,,-9.656,452.4,97.8,4.75,2.56,False,CFTR,False,True,selleckchem_L1300
Fluralaner,-9.649,,,-9.649,556.3,79.8,5.29,2.25,False,"Chloride Channel,GABA Receptor",False,True,selleckchem_L1300
Risperidone,-9.13,,,-9.63,410.5,64.2,3.59,5.02,True,5-HT Receptor,False,True,selleckchem_L1300
Ramatroban,-9.12,,,-9.62,416.5,88.4,3.09,4.58,False,Prostaglandin Receptor,False,True,selleckchem_L1300
Fluocinolone Acetonide,-9.12,,,-9.62,452.5,93.1,2.37,4.11,False,Glucocorticoid Receptor,False,True,selleckchem_L1300
Paliperidone,-9.11,,,-9.61,426.5,84.4,3.08,4.98,False,Dopamine Receptor,False,True,selleckchem_L1300
Telmisartan,-9.574,,,-9.574,514.6,72.9,7.26,2.75,False,Angiotensin Receptor,False,True,selleckchem_L1300
Phenolphthalein,-9.06,,,-9.56,318.3,66.8,3.56,4.83,True,Dyes,False,True,selleckchem_L1300
Estradiol Benzoate,-9.06,,,-9.56,376.5,46.5,5.12,4.07,True,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Cefoperazone,-9.556,,,-9.556,645.7,220.3,-1.11,1.5,False,Antibiotics,False,True,selleckchem_L1300
Praziquantel,-9.04,,,-9.54,312.4,40.6,2.53,6.0,True,"COVID-19,Parasite",False,True,selleckchem_L1300
Apalutamide?(ARN-509),-9.03,,,-9.53,477.4,89.3,3.53,4.09,False,Androgen Receptor,False,True,selleckchem_L1300
taletrectinib,-9.02,-8.482,-9.721,-9.52,416.4,107.0,3.04,3.26,False,ROS1,True,False,control
Gelsemine,-8.99,,,-9.49,322.4,41.6,2.03,5.75,True,GlyR,False,True,selleckchem_L1300
Tanshinone IIA sulfonate sodium,-8.97,,,-9.47,373.4,104.5,3.15,5.02,False,"Calcium Channel,P2 Receptor,P450 (e.g. CYP17)",False,True,selleckchem_L1300
Talazoparib (BMN 673),-8.96,,,-9.46,380.4,88.5,2.63,5.03,False,PARP,False,True,selleckchem_L1300
Ceritinib (LDK378),-8.947,-8.462,-8.896,-9.447,558.1,105.2,6.36,0.99,False,"ALK,FLT3,IGF-1R,Serine/threonin kinase",True,False,selleckchem_L1300
